Cluster,z,MaxGradP,Improvement
MACS_J0257.6-2209,0.322400,3.121711E-034,1.435439
MACS_J0308.9+2645,0.324000,7.584944E-034,1.000000
MACS_J0329.6-0211,0.450000,4.231318E-033,1.000000
MACS_J0417.5-1154,0.440000,3.307740E-033,1.000000
MACS_J0429.6-0253,0.399000,5.579096E-033,1.000000
MACS_J0520.7-1328,0.339800,7.158250E-034,1.000000
MACS_J0547.0-3904,0.210000,7.989006E-034,1.000000
MACS_J0717.5+3745,0.548000,2.342264E-034,0.850968
MACS_J0744.8+3927,0.686000,5.014045E-033,1.000000
MACS_J1115.2+5320,0.439000,1.682697E-034,1.642144
MACS_J1115.8+0129,0.352100,1.983345E-033,1.000000
MACS_J1131.8-1955,0.307000,6.290405E-034,1.000000
MACS_J1149.5+2223,0.544000,1.046008E-034,1.033508
MACS_J1206.2-0847,0.440000,2.087825E-033,1.000000
MACS_J1311.0-0310,0.494000,6.178298E-034,1.000000
MACS_J1621.3+3810,0.461000,5.386158E-033,1.000000
MACS_J1931.8-2634,0.352000,6.113003E-033,1.000000
MACS_J2049.9-3217,0.325400,3.200855E-034,0.962278
MACS_J2211.7-0349,0.270000,1.058803E-033,1.000000
MACS_J2214.9-1359,0.502600,8.270124E-035,1.242958
MACS_J2228+2036,0.412000,5.847712E-034,1.425228
MACS_J2229.7-2755,0.324000,4.524775E-033,1.000000
MACS_J2245.0+2637,0.304000,1.320005E-033,1.000000
MKW_04,0.019800,6.927960E-033,1.000000
MKW_08,0.027000,3.665824E-034,3.932351
MKW3S,0.045000,2.314797E-033,1.000000
MS_0016.9+1609,0.541000,4.086330E-034,0.739895
MS_0116.3-0115,0.045200,4.419220E-034,1.184331
MS_0440.5+0204,0.190000,7.460569E-033,1.000000
MS_0451.6-0305,0.538600,2.148011E-034,1.371590
MS_0735.6+7421,0.216000,1.697011E-033,1.000000
MS_0839.8+2938,0.194000,1.187670E-033,1.000000
MS_0906.5+1110,0.163000,4.598239E-034,0.562643
MS_1006.0+1202,0.221000,9.356449E-036,1.331573
MS_1008.1-1224,0.301000,2.839892E-034,1.017166
MS_1455.0+2232,0.259000,2.483005E-033,1.000000
MS_2137.3-2353,0.313000,6.645471E-033,1.000000
MS_J1157.3+5531,0.081000,4.896274E-033,1.000000
NGC_0507,0.016400,6.383569E-032,1.000000
NGC_4636,0.003100,4.214245E-032,1.000000
NGC_5044,0.009000,2.054226E-032,1.000000
NGC_5813,0.006600,3.350809E-032,1.000000
NGC_5846,0.005700,4.702550E-032,1.000000
OPHIUCHUS,0.028000,2.571843E-032,1.000000
PKS_0745-191,0.102800,2.578035E-033,1.000000
RBS_0461,0.029000,1.975876E-034,1.947170
RBS_0533,0.012300,2.306253E-032,1.000000
RBS_0797,0.354000,8.902678E-033,1.000000
RCS_J2327-0204,0.200000,4.985668E-033,1.000000
RX_J0220.9-3829,0.228700,5.627422E-034,0.548066
RX_J0232.2-4420,0.283600,1.278404E-033,1.000000
RX_J0439.0+0715,0.230000,4.220598E-034,0.616962
RX_J0439+0520,0.208000,6.763107E-033,1.000000
RX_J0528.9-3927,0.263200,1.050515E-033,1.000000
RX_J0647.7+7015,0.584000,5.739533E-034,1.495531
RX_J0819.6+6336,0.119000,2.189568E-033,1.000000
RX_J1000.4+4409,0.154000,9.151083E-034,1.000000
RX_J1022.1+3830,0.049100,3.082012E-034,1.284941
RX_J1130.0+3637,0.060000,2.055779E-034,1.355313
RX_J1320.2+3308,0.036600,9.543912E-034,1.000000
RX_J1347.5-1145,0.451000,1.449912E-032,1.000000
RX_J1423.8+2404,0.545000,5.599657E-033,1.000000
RX_J1504.1-0248,0.215000,5.279891E-033,1.000000
RX_J1532.9+3021,0.345000,2.235709E-033,1.000000
RX_J1539.5-8335,0.072800,3.085298E-033,1.000000
RX_J1720.1+2638,0.164000,3.499676E-033,1.000000
RX_J1720.2+3536,0.391300,1.497323E-033,1.000000
RX_J1852.1+5711,0.109400,1.187821E-033,1.000000
RX_J2129.6+0005,0.235000,7.712670E-033,1.000000
RXC_J1023.8-2715,0.096300,1.423896E-032,1.000000
RXCJ0331.1-2100,0.188000,7.413995E-033,1.000000
SC_1327-312,0.053100,4.122026E-034,1.931221
SERSIC_159-03,0.058000,1.942432E-033,1.000000
SS2B153,0.018600,3.774591E-032,1.000000
UGC_03957,0.034100,6.562256E-033,1.000000
UGC_12491,0.017400,2.279203E-032,1.000000
ZwCl_0857.9+2107,0.235000,9.440613E-034,1.000000
ZWCL_1215,0.075000,5.987309E-034,1.343081
ZWCL_1358+6245,0.328000,3.015661E-033,1.000000
ZWCL_1742,0.075700,1.339275E-033,1.000000
ZWCL_1953,0.380000,5.194743E-034,1.606275
ZWCL_3146,0.290000,2.695269E-033,1.000000
ZWICKY_2701,0.210000,4.173275E-034,1.435675
