timestamps,TP9,AF7,AF8,TP10,Marker0
0.460,-86.426,17.578,30.273,-74.707,0
0.464,-86.914,40.039,22.461,-74.707,0
0.468,-89.844,43.457,13.184,-89.355,0
0.472,-76.172,52.246,10.742,-82.031,NaN
0.476,-70.312,49.805,12.695,-76.172,0
0.489,-69.336,37.598,19.043,-70.801,0
0.493,-76.172,36.621,23.926,-72.754,0
0.497,-83.008,37.109,28.320,-83.496,NaN
0.501,-78.613,37.109,36.621,-77.148,0
0.505,-75.195,34.180,22.949,-69.336,0
0.509,-77.637,29.297,-4.395,-70.801,NaN
0.512,-83.984,27.344,-8.789,-74.707,0
0.516,-83.008,36.621,9.277,-71.777,0
0.520,-84.473,52.246,29.297,-79.102,NaN
0.524,-85.449,55.664,33.203,-89.355,0
0.528,-82.520,56.641,27.344,-85.938,0
0.532,-85.449,51.270,22.949,-94.238,0
0.544,-87.402,48.340,11.719,-96.191,0
0.548,-85.938,36.621,3.906,-87.402,0
0.552,-82.520,25.879,-1.953,-84.473,0
0.556,-80.078,45.898,0.488,-78.613,0
0.560,-81.543,58.105,14.160,-83.008,0
0.564,-73.730,57.129,21.973,-78.613,NaN
0.567,-72.266,42.969,15.625,-77.637,0
0.571,-75.195,38.086,18.066,-80.078,0
0.575,-63.477,42.969,33.203,-67.871,0
0.579,-63.477,39.551,33.203,-71.777,0
0.583,-74.219,57.617,15.625,-77.637,NaN
0.587,-80.566,62.012,4.883,-76.172,NaN
0.582,-79.590,54.688,15.625,-67.383,NaN
0.586,-81.055,47.363,21.973,-68.848,0
0.590,-87.402,43.945,19.043,-70.312,0
0.594,-85.938,41.504,16.113,-74.219,0
0.598,-80.078,40.039,10.742,-77.637,0
0.602,-70.801,47.852,-1.953,-79.102,NaN
0.605,-61.035,49.316,0.977,-78.125,0
0.609,-63.965,39.551,19.531,-83.008,0
0.613,-71.289,34.180,23.926,-86.426,0
0.617,-70.312,21.973,27.832,-73.730,0
0.621,-74.707,17.090,30.273,-56.152,0
0.625,-79.590,35.156,18.555,-64.453,0
0.638,-83.496,30.273,17.578,-77.148,0
0.642,-88.379,26.367,27.344,-72.266,0
0.646,-84.473,36.133,17.090,-73.242,0
0.650,-83.984,36.133,14.648,-67.383,0
0.654,-87.891,26.367,19.043,-64.453,NaN
0.658,-86.914,26.367,6.836,-60.547,0
0.661,-79.102,25.879,12.695,-52.734,0
0.665,-77.148,17.578,22.949,-44.922,0
0.669,-81.543,25.391,18.555,-42.969,0
0.673,-71.289,31.738,26.367,-43.457,NaN
0.677,-70.801,24.902,27.832,-46.387,NaN
0.681,-87.891,18.555,12.207,-60.059,NaN
0.676,-88.867,30.762,21.484,-65.918,0
0.680,-92.285,36.133,21.484,-68.848,0
0.684,-93.262,34.180,20.020,-71.289,0
0.688,-79.102,33.203,31.250,-63.965,NaN
0.692,-73.242,29.297,22.949,-57.129,0
0.696,-83.496,34.668,12.695,-62.988,0
0.699,-92.285,33.691,20.020,-72.754,NaN
0.703,-94.238,34.668,19.043,-78.125,0
0.707,-90.820,34.668,11.719,-72.266,0
0.711,-92.285,32.227,5.859,-68.848,0
0.715,-81.543,33.203,-3.418,-60.059,0
0.719,-76.172,35.645,3.418,-63.965,0
0.732,-79.590,35.156,7.324,-77.148,0
0.736,-69.336,38.574,6.836,-73.730,0
