timestamps,TP9,AF7,AF8,TP10,Marker0
0.463,-25.391,-28.809,-18.066,-16.602,0
0.466,-29.297,-32.227,-17.090,-13.184,0
0.470,-48.828,-37.598,-41.504,-31.738,NaN
0.474,-51.270,-37.598,-51.758,-43.457,0
0.478,-36.133,-33.203,-33.691,-33.691,0
0.482,-18.555,-28.320,-7.812,-23.438,0
0.486,-16.113,-20.508,0.488,-28.809,NaN
0.489,-29.785,-25.879,-13.672,-36.621,0
0.493,-34.668,-35.156,-37.109,-38.574,0
0.497,-29.297,-39.551,-30.762,-32.715,0
0.501,-36.133,-33.691,-20.020,-32.715,0
0.505,-39.062,-22.949,-27.344,-38.086,0
0.509,-27.832,-15.137,-24.902,-27.832,NaN
0.510,-26.855,-29.785,-24.414,-17.090,NaN
0.514,-36.621,-34.180,-38.574,-24.414,0
0.518,-53.711,-34.180,-44.434,-48.340,0
0.522,-41.504,-32.227,-21.484,-51.270,0
0.526,-37.109,-34.180,-8.301,-36.133,0
0.530,-48.828,-29.297,-19.531,-42.480,0
0.533,-45.898,-13.184,-18.066,-46.387,0
0.537,-34.668,-7.324,-5.859,-30.273,NaN
0.541,-31.738,-19.531,-13.672,-31.250,0
0.545,-41.992,-34.180,-33.691,-49.316,0
0.549,-35.156,-29.297,-35.645,-42.969,0
0.553,-33.691,-27.832,-32.227,-33.691,0
0.555,-28.809,-39.551,-25.391,-27.344,NaN
0.559,-19.043,-31.738,-26.855,-14.648,0
0.563,-25.879,-22.949,-40.039,-15.137,0
0.567,-35.645,-29.785,-33.203,-20.020,NaN
0.571,-29.297,-22.461,-16.602,-14.648,0
0.575,-28.320,-11.230,-15.137,-20.996,0
0.578,-38.086,-19.531,-24.902,-30.762,NaN
0.582,-41.016,-38.574,-37.598,-29.785,0
0.586,-50.293,-38.086,-44.434,-42.480,0
0.590,-52.734,-33.691,-34.668,-48.340,NaN
0.594,-48.828,-30.273,-22.461,-42.480,0
0.598,-49.805,-35.156,-24.902,-37.109,0
0.601,-44.434,-43.945,-34.668,-37.109,NaN
0.605,-35.645,-40.039,-26.367,-34.668,0
0.609,-30.273,-37.598,-16.113,-31.738,0
0.613,-36.133,-24.414,-29.297,-34.180,0
0.617,-34.668,-18.066,-23.438,-23.926,0
0.621,-26.367,-28.320,-7.812,-9.766,NaN
0.624,-27.832,-20.996,-10.254,-8.789,0
0.628,-20.508,-5.371,-14.160,-7.812,0
0.632,-21.484,-15.137,-42.480,-10.254,0
0.636,-28.320,-29.297,-52.246,-13.184,0
0.640,-21.973,-31.250,-26.855,-13.184,NaN
0.644,-24.414,-39.062,-10.254,-13.672,0
0.645,-38.574,-38.574,-12.207,-31.738,NaN
0.649,-46.875,-31.250,-16.113,-42.480,0
0.653,-30.273,-29.297,-17.578,-24.414,0
0.657,-28.809,-25.879,-26.367,-23.438,0
0.661,-40.039,-32.227,-26.367,-35.645,0
0.665,-34.668,-23.926,-27.344,-36.621,NaN
0.668,-34.668,-8.301,-31.738,-23.926,0
0.672,-28.320,-5.371,-27.344,-14.648,0
0.676,-26.855,-23.926,-41.016,-18.555,0
0.680,-20.996,-18.555,-45.898,-9.766,NaN
0.684,-19.043,-6.348,-26.855,-8.301,0
0.688,-31.738,-30.273,-29.785,-26.367,0
0.691,-30.273,-23.438,-28.320,-24.414,0
0.695,-27.344,-22.949,-20.996,-15.137,NaN
0.699,-29.785,-20.020,-26.367,-21.484,0
0.703,-31.250,-14.648,-20.508,-23.438,0
0.707,-38.086,-30.273,-12.207,-23.926,0
0.711,-37.598,-21.973,-11.230,-20.020,NaN
0.714,-43.457,-17.090,-17.578,-10.254,0
0.718,-45.898,-40.527,-24.414,-13.672,0
0.722,-37.109,-49.805,-23.438,-26.367,0
0.726,-41.504,-25.391,-41.504,-35.645,0
0.730,-43.945,-14.648,-64.941,-35.156,0
0.734,-44.434,-26.855,-41.504,-37.109,0
0.750,-29.785,-21.973,-13.672,-26.855,0
0.754,-16.602,-14.648,-9.277,-13.672,0
0.758,-25.391,-6.348,-9.766,-18.555,NaN
0.762,-41.992,-7.324,-14.160,-35.156,0
0.766,-43.457,-20.996,-11.230,-28.320,0
0.770,-39.551,-40.039,-15.625,-18.066,0
0.773,-41.504,-42.969,-36.133,-27.832,NaN
0.777,-30.273,-18.555,-29.785,-26.367,0
0.781,-11.719,-12.695,-11.719,-12.695,NaN
0.785,-7.324,-13.672,-10.742,-12.695,0
