time_s,state,plv,omega_star_hz,omega_mode_hz,sigma_omega_hz,ratio
2.49,Mid,0.1927,2.88,2.56,0.766,0.2517
3.50,Mid,0.1677,2.88,2.25,0.812,0.2066
4.50,Mid,0.1716,2.88,2.31,0.628,0.2732
5.51,Low,0.1531,2.50,3.00,0.615,0.2491
6.50,Low,0.1422,2.50,2.25,0.400,0.3553
7.49,Low,0.1438,2.50,2.88,0.530,0.2710
8.49,Low,0.1529,3.63,2.13,1.226,0.1247
9.50,Mid,0.1583,1.25,1.44,0.871,0.1819
10.49,Mid,0.1565,1.63,2.25,1.112,0.1407
11.49,Mid,0.1674,1.25,1.25,11.187,0.0150
12.50,Mid,0.1583,1.25,1.19,0.104,1.5276
13.48,Mid,0.1656,1.13,1.13,0.454,0.3648
14.49,Mid,0.1745,3.50,1.25,0.400,0.4360
15.50,Mid,0.1891,1.25,1.25,10.105,0.0187
16.49,Mid,0.1648,1.88,1.88,0.459,0.3589
17.49,Mid,0.1948,1.88,1.50,0.409,0.4766
18.50,Mid,0.1922,1.88,1.50,0.409,0.4703
19.48,Mid,0.1898,1.88,2.06,0.679,0.2796
20.49,High,0.2276,2.25,2.13,0.515,0.4416
21.50,Mid,0.1755,2.00,1.50,0.500,0.3510
22.48,Mid,0.1695,2.00,1.56,0.471,0.3600
23.49,Low,0.1461,2.00,1.56,0.548,0.2668
24.50,Mid,0.1799,1.75,1.50,0.925,0.1945
25.49,Mid,0.1594,2.25,1.88,0.589,0.2707
26.49,Low,0.1500,2.25,2.00,0.427,0.3510
27.50,Mid,0.1664,2.38,1.88,0.757,0.2198
28.49,Mid,0.1638,1.13,1.75,0.658,0.2490
29.49,Mid,0.1594,1.13,2.06,0.418,0.3812
30.50,Mid,0.1680,2.63,2.00,0.515,0.3259
31.50,Low,0.1534,1.25,13.00,11.782,0.0130
32.49,Mid,0.1570,1.25,14.13,11.061,0.0142
33.50,Low,0.1451,1.00,2.44,9.193,0.0158
34.49,Low,0.1352,1.00,1.94,0.358,0.3779
35.49,Low,0.1286,1.88,1.94,0.258,0.4992
36.50,Low,0.1271,1.88,1.75,0.198,0.6430
37.48,Low,0.1315,1.88,2.13,0.250,0.5260
38.49,Low,0.1294,1.25,1.56,0.368,0.3513
39.50,Low,0.1406,2.88,2.56,9.782,0.0144
40.48,Low,0.1464,3.63,2.56,9.787,0.0150
41.49,Low,0.1474,1.88,3.44,9.480,0.0155
42.50,Mid,0.1542,2.63,2.06,0.504,0.3059
43.49,Mid,0.1721,2.50,2.25,8.642,0.0199
44.49,Mid,0.1794,2.00,2.00,8.706,0.0206
45.50,Mid,0.1594,1.25,2.31,8.570,0.0186
46.48,Low,0.1352,1.63,1.63,8.770,0.0154
47.49,Low,0.1451,1.63,11.69,10.348,0.0140
48.48,Mid,0.1560,1.63,1.81,0.503,0.3101
49.49,Mid,0.1703,1.50,2.81,8.961,0.0190
50.49,Mid,0.1826,1.50,1.50,0.986,0.1851
51.48,High,0.2099,2.25,1.38,1.069,0.1963
52.49,Mid,0.1917,2.25,2.00,0.462,0.4144
53.49,Mid,0.1826,1.88,1.88,0.575,0.3173
54.48,Mid,0.1667,2.63,2.75,10.567,0.0158
55.48,Low,0.1378,1.25,1.88,10.805,0.0127
56.49,Low,0.1326,1.75,14.44,12.877,0.0103
57.48,Mid,0.1617,1.00,14.25,13.128,0.0123
58.48,Mid,0.1667,1.00,14.25,13.102,0.0127
59.49,Low,0.1393,2.63,2.50,10.636,0.0131
60.48,Low,0.1461,1.25,13.69,12.377,0.0118
61.49,Mid,0.1773,1.25,2.19,9.838,0.0180
62.49,Mid,0.1977,2.50,2.13,0.375,0.5271
63.48,High,0.2023,2.38,2.38,8.809,0.0230
64.48,Mid,0.1911,1.63,2.88,8.647,0.0221
65.49,High,0.2172,1.50,1.69,0.104,2.0954
66.48,High,0.2529,2.25,1.50,0.000,NaN
67.49,High,0.2133,1.50,1.56,0.063,3.4123
68.49,High,0.2615,1.63,1.63,0.724,0.3614
69.50,High,0.2844,1.63,1.63,0.054,5.2536
70.49,High,0.2102,2.00,1.44,0.223,0.9416
71.49,Mid,0.1708,1.25,1.31,0.153,1.1158
72.48,Mid,0.1922,2.00,1.75,0.285,0.6750
73.49,Low,0.1461,2.00,2.00,0.375,0.3896
74.49,Low,0.1510,2.00,1.63,0.375,0.4028
75.48,Low,0.1430,2.00,2.00,9.404,0.0152
76.49,Low,0.1398,2.00,1.38,0.335,0.4173
77.49,Low,0.1430,1.38,2.50,0.462,0.3091
78.48,Mid,0.1667,1.38,1.88,0.533,0.3126
79.49,Mid,0.1716,2.00,1.75,0.250,0.6864
80.51,Low,0.1448,1.50,1.81,0.427,0.3388
81.48,Mid,0.1721,1.50,1.50,0.108,1.5900
82.49,Mid,0.1734,1.50,1.44,0.271,0.6408
83.49,Mid,0.1604,2.38,1.75,0.323,0.4962
84.48,Mid,0.1659,1.50,1.38,0.358,0.4638
85.49,Mid,0.1664,1.88,1.88,0.323,0.5148
86.48,Low,0.1427,1.88,1.88,9.748,0.0146
87.48,Mid,0.1786,4.00,4.00,7.419,0.0241
88.49,High,0.2208,3.25,2.63,1.068,0.2068
89.51,High,0.2063,3.25,3.06,1.359,0.1517
90.48,High,0.2432,3.25,2.63,0.944,0.2577
91.49,High,0.2299,1.63,2.94,0.364,0.6309
92.49,High,0.2214,1.63,2.00,0.575,0.3847
93.48,High,0.2151,3.50,1.88,0.822,0.2618
94.49,High,0.2068,1.63,1.63,0.311,0.6650
95.49,Mid,0.1721,1.63,1.63,0.747,0.2305
96.48,Mid,0.1940,1.63,1.63,0.323,0.6001
97.49,Mid,0.1737,1.63,1.63,0.442,0.3930
98.49,Low,0.1354,1.50,2.00,0.562,0.2411
99.50,Low,0.1232,3.13,1.81,0.773,0.1593
100.49,Low,0.1151,1.63,1.50,10.522,0.0109
101.49,Low,0.1378,1.38,11.13,10.917,0.0126
102.48,Mid,0.1609,1.25,12.50,11.605,0.0139
103.49,Low,0.1143,1.63,1.94,8.294,0.0138
104.48,Low,0.1253,1.38,1.38,10.719,0.0117
105.48,Mid,0.1687,1.63,1.38,0.459,0.3674
106.49,Low,0.1456,1.50,1.50,0.826,0.1762
107.48,Low,0.1500,1.25,1.31,0.364,0.4116
108.48,Mid,0.1643,1.25,1.38,0.944,0.1741
109.49,Mid,0.1565,1.50,2.63,10.865,0.0144
110.48,Low,0.1414,2.63,14.88,13.138,0.0108
111.50,Low,0.1526,2.25,2.75,10.777,0.0142
112.49,Mid,0.1607,2.63,2.06,12.296,0.0131
113.49,Mid,0.1740,2.38,2.63,10.310,0.0169
114.48,Mid,0.1747,1.75,1.75,0.595,0.2935
115.49,Mid,0.1656,3.13,2.19,0.773,0.2142
116.48,Mid,0.1815,2.75,2.00,0.647,0.2807
117.48,Low,0.1490,1.00,2.94,0.563,0.2648
118.49,Low,0.1367,2.75,3.06,8.304,0.0165
119.48,Low,0.1320,2.75,2.75,9.188,0.0144
120.48,Low,0.1383,2.50,1.69,0.634,0.2183
121.49,Mid,0.1638,1.25,1.81,0.850,0.1927
122.48,Low,0.1523,1.75,2.38,0.512,0.2978
123.48,Low,0.1492,2.63,2.38,0.512,0.2917
124.49,Low,0.1424,1.75,1.75,0.265,0.5372
125.48,Low,0.1380,1.75,2.00,0.487,0.2833
126.48,Mid,0.1859,2.88,2.75,0.859,0.2164
127.49,High,0.2031,2.00,2.31,0.871,0.2333
128.48,High,0.2073,3.38,3.38,0.974,0.2128
129.48,High,0.2461,1.50,1.50,0.747,0.3295
130.49,High,0.2737,1.75,1.75,0.698,0.3921
131.48,High,0.2167,1.13,1.31,0.495,0.4376
132.48,High,0.2661,1.13,1.75,0.899,0.2961
133.49,High,0.2234,1.25,1.13,0.541,0.4128
134.48,Mid,0.1859,1.25,1.19,0.258,0.7215
135.48,Low,0.1484,2.00,2.38,0.515,0.2880
136.49,Low,0.1401,2.00,1.88,0.088,1.5850
137.48,Low,0.1393,4.00,1.56,1.093,0.1274
138.48,Low,0.1497,2.13,1.63,0.325,0.4611
139.49,Mid,0.1685,1.88,1.50,0.358,0.4710
140.48,Mid,0.1701,1.75,1.50,0.285,0.5973
141.48,Mid,0.1888,1.25,1.25,0.000,NaN
142.49,Mid,0.1781,1.25,1.25,0.162,1.0969
143.49,Mid,0.1750,1.25,1.31,0.153,1.1430
144.48,Mid,0.1966,2.25,1.75,0.436,0.4505
145.49,High,0.2081,1.00,1.88,0.177,1.1770
146.48,High,0.2102,1.50,2.50,1.318,0.1594
147.48,Mid,0.1878,4.88,1.94,1.348,0.1393
148.49,Mid,0.1758,4.13,3.06,1.201,0.1464
149.48,High,0.2047,3.00,2.56,0.418,0.4895
150.48,High,0.2128,2.88,2.94,0.850,0.2503
151.49,High,0.2286,3.00,2.63,0.409,0.5595
152.48,High,0.2109,1.25,1.56,1.395,0.1512
153.50,High,0.2031,1.25,1.38,0.944,0.2152
154.49,High,0.2083,1.13,1.31,0.359,0.5802
155.48,High,0.2055,1.13,2.13,0.906,0.2268
156.48,Mid,0.1953,1.50,3.75,0.866,0.2255
157.49,Mid,0.1904,1.25,1.69,0.776,0.2454
158.48,Mid,0.1630,1.88,1.75,0.622,0.2621
159.48,Mid,0.1758,1.88,2.00,0.323,0.5438
160.49,High,0.2344,1.00,1.31,0.615,0.3812
161.48,High,0.2563,1.00,1.38,0.562,0.4562
162.48,High,0.2219,1.13,1.38,0.285,0.7793
163.49,High,0.2404,1.25,1.25,0.162,1.4802
164.48,High,0.2117,1.25,1.25,0.223,0.9486
165.48,Mid,0.1953,1.75,1.69,0.258,0.7579
166.49,High,0.2174,2.38,2.00,0.575,0.3779
167.48,High,0.2060,2.38,1.94,0.590,0.3493
168.48,Mid,0.1992,2.38,2.31,0.418,0.4765
169.49,High,0.2094,2.25,1.81,0.548,0.3824
170.48,Mid,0.1758,2.25,1.81,0.471,0.3733
171.48,Mid,0.1539,3.13,1.94,0.664,0.2316
172.49,Low,0.1326,3.13,2.19,0.970,0.1367
173.48,Mid,0.1570,1.00,1.44,0.670,0.2345
174.48,Mid,0.1677,1.00,1.75,0.272,0.6156
175.49,Mid,0.1612,1.75,1.75,0.375,0.4298
176.48,Mid,0.1878,1.88,1.88,0.400,0.4691
177.48,Mid,0.1687,2.63,1.88,0.582,0.2899
178.49,Low,0.1523,1.50,1.38,0.207,0.7349
179.48,Mid,0.1583,2.38,2.38,0.698,0.2268
180.48,Mid,0.1935,2.50,1.38,0.511,0.3789
181.47,Mid,0.1935,2.38,1.94,0.548,0.3534
182.48,Mid,0.1870,1.25,1.25,0.593,0.3153
183.48,High,0.2326,1.75,1.63,0.306,0.7595
184.49,Mid,0.1958,1.88,1.56,0.385,0.5083
185.49,Mid,0.1966,1.13,1.19,0.389,0.5053
186.49,Mid,0.1880,2.00,1.69,0.313,0.6016
187.50,Mid,0.1909,2.13,1.75,0.375,0.5090
188.48,Mid,0.1651,2.13,2.13,0.732,0.2257
189.48,Low,0.1404,2.13,2.13,0.442,0.3176
190.47,Mid,0.1542,1.00,1.56,0.949,0.1624
191.48,Mid,0.1888,1.50,1.63,0.256,0.7381
192.48,Mid,0.1789,1.00,2.25,0.136,1.3133
193.47,Low,0.1479,2.88,2.56,0.347,0.4268
194.48,High,0.2143,1.88,2.00,0.162,1.3198
195.48,Mid,0.1656,2.50,2.31,0.188,0.8833
