x,y
0.435483870967742,0.914560770156438
0.44585253456221197,0.9253910950661853
0.45622119815668205,0.9326113116726835
0.4804147465437788,0.937424789410349
0.4976958525345622,0.9350180505415162
0.5253456221198156,0.924187725631769
0.5564516129032258,0.9157641395908545
0.5806451612903225,0.8880866425992779
0.6013824884792627,0.8808664259927798
0.6152073732718893,0.8760529482551143
0.6463133640552995,0.8327316486161251
0.6808755760368663,0.7966305655836342
0.7188940092165899,0.7581227436823105
0.7569124423963134,0.6979542719614922
0.7983870967741935,0.6149217809867629
0.8433179723502304,0.5944645006016847
0.8813364055299538,0.5006016847172081
0.9297235023041475,0.457280385078219
0.9746543778801844,0.41877256317689526
1.023041474654378,0.36823104693140796
1.074884792626728,0.33814681107099875
1.1267281105990783,0.3068592057761734
1.175115207373272,0.2695547533092659
1.226958525345622,0.24308062575210587
1.2857142857142856,0.21540312876052947
1.337557603686636,0.21299638989169678
1.3997695852534562,0.19494584837545115
1.4516129032258063,0.18050541516245489
1.5207373271889402,0.16606498194945862
1.5760368663594468,0.15764139590854387
1.6347926267281108,0.16245487364620947
1.6935483870967745,0.14921780986762945
1.7592165898617511,0.148014440433213
1.8248847926267282,0.1407942238267148
1.8940092165898619,0.13598074608904942
1.959677419354839,0.13237063778580027
2.0218894009216593,0.13116726835138393
2.0944700460829493,0.12515042117930208
2.160138248847926,0.12033694344163659
2.2983870967741935,0.12515042117930208
2.377880184331797,0.12515042117930208
